delta,probe_edge,canonical,rel_gap,norm_delta,G_r,g_pair,mac_r,mac_r1,eps_sub,sin_individual,sin_subspace,dk_individual,dk_subspace,weyl_ok_individual,weyl_ok_subspace
0.02,5,False,0.016038186673321138,0.0031397150842540954,0.0044546288884956264,0.12291441076449475,0.9993264680669491,0.9993266859533914,0.0034969499668712663,0.025952493773255467,0.0034966670828421847,1.4096415943256764,0.051087827126630764,False,True
0.02,6,False,0.016038186673321138,0.0009758699456304266,0.0044546288884956264,0.12291441076449475,0.9993649726606726,0.9993651366323623,0.0021387326097553746,0.025199748794926702,0.002138534129104959,0.43813748352895354,0.015878853253426944,True,True
0.02,7,False,0.016038186673321138,0.002997098147571893,0.0044546288884956264,0.12291441076449475,0.9998491528562088,0.9998660636656805,0.004152352891007901,0.012281984521697244,0.004152346422203951,1.3456106996082646,0.048767237770262165,False,True
0.02,8,False,0.016038186673321138,0.0020051122226567224,0.0044546288884956264,0.12291441076449475,0.9998619988989254,0.9998740100059935,0.003497195791905119,0.01174738698922647,0.003497187798039317,0.9002376058014876,0.03262615360046818,True,True
0.02,9,False,0.016038186673321138,0.0020801937261481097,0.0044546288884956264,0.12291441076449475,0.9998505736167168,0.9998608355544819,0.003234021960718446,0.012224008478530723,0.0032340168513544415,0.933947037213514,0.033847841163779924,True,True
0.02,10,False,0.016038186673321138,0.003072179651063165,0.0044546288884956264,0.12291441076449475,0.9998659857341482,0.9998808821639263,0.0038907818443323213,0.011576453077337663,0.003890772328853439,1.3793201310202392,0.049988925333572035,False,True
0.02,11,False,0.016038186673321138,0.003078152043386398,0.0044546288884956264,0.12291441076449475,0.9993177685300706,0.9993179761850806,0.0034873301872991713,0.026119561059279046,0.003487049347805513,1.382001563064402,0.05008610502610908,False,True
0.05,0,False,0.03904549323321717,0.0010096420541656475,0.010971895619932615,0.1196472752635698,0.9998752041957224,0.9998753853458983,0.0021908725173115187,0.011171204244735652,0.0021896726471703873,0.18404149823143293,0.01687697529160638,True,True
0.05,1,False,0.03904549323321717,0.0020745035056981636,0.010971895619932615,0.1196472752635698,0.9999654324002686,0.9999514858613928,0.003776166003269598,0.005879421717432467,0.0037761082903806707,0.3781486039530705,0.03467698702086212,True,True
0.05,2,False,0.03904549323321717,0.0031784991304979393,0.010971895619932615,0.1196472752635698,0.9999610829447468,0.9999461606530973,0.003918842286188383,0.006238353569104798,0.003918755563377041,0.5793892396722345,0.05313115778852556,True,True
0.05,3,False,0.03904549323321717,0.003100819267772119,0.010971895619932615,0.1196472752635698,0.9999692631139614,0.9999513341011035,0.0042743285096738205,0.0055440856810304645,0.004274296375638167,0.5652294508049946,0.05183267668973413,True,True
0.05,4,True,0.03904549323321717,0.002152183368423884,0.010971895619932615,0.1196472752635698,0.9999740178775371,0.9999636419809202,0.0032516804693307525,0.005097266175397665,0.003251653706255877,0.39230839282029223,0.035975468119651875,True,True
0.05,5,False,0.03904549323321717,0.0031846782104874155,0.010971895619932615,0.1196472752635698,0.9998848241596395,0.9998847302407451,0.0035088450809387045,0.010732000762228392,0.003507117242105621,0.5805155865139328,0.05323444605774631,True,True
0.05,6,False,0.03904549323321717,0.0009615638611101098,0.010971895619932615,0.1196472752635698,0.9999002986552935,0.9999004605941187,0.002119425918284687,0.009985056069271378,0.0021182204439460063,0.17527761736326386,0.016073309801529375,True,True
0.05,7,False,0.03904549323321717,0.002953161207402027,0.010971895619932615,0.1196472752635698,0.9999576821398014,0.9999741327134586,0.004102314446605534,0.006505217920914945,0.00410227122785867,0.5383137626714252,0.049364453990223135,True,True
0.05,8,False,0.03904549323321717,0.0019757176244744744,0.010971895619932615,0.1196472752635698,0.999966342108182,0.9999776038831214,0.0033880739904723085,0.005801542193070139,0.003388028812781407,0.36014152757435886,0.03302570192463114,True,True
0.05,9,False,0.03904549323321717,0.002049698446117988,0.010971895619932615,0.1196472752635698,0.9999613548901437,0.9999715666705694,0.003230033851574641,0.006216519110908817,0.0032300014860007415,0.3736270407812313,0.0342623505901447,True,True
0.05,10,False,0.03904549323321717,0.0030271420290455663,0.010971895619932615,0.1196472752635698,0.9999657440549281,0.9999805998977777,0.0038819428663958793,0.0058528578550903375,0.0038818948082063355,0.5517992758783022,0.050601102655737126,True,True
0.05,11,False,0.03904549323321717,0.0030330268671308813,0.010971895619932615,0.1196472752635698,0.9998813741945037,0.9998812163405425,0.0034852747031143745,0.010891547433503842,0.003483577605212527,0.5528719871561281,0.05069947243594902,True,True
