target_mode,beta,threshold,beta_over_threshold,target_overlap,recovered_mode,ground_value
2,0.13841491951448678,0.13422052801404777,1.0312500000000002,1.0000000000000004,2,0.15488779624495422
2,0.1398130500146331,0.13422052801404777,1.0416666666666667,1.0000000000000009,2,0.15488779624495438
2,0.14121118051477943,0.13422052801404777,1.0520833333333335,1.0000000000000004,2,0.15488779624495444
2,0.14260931101492577,0.13422052801404777,1.0625000000000002,1.0000000000000004,2,0.1548877962449545
2,0.1440074415150721,0.13422052801404777,1.072916666666667,1.0,2,0.1548877962449546
2,0.14540557201521842,0.13422052801404777,1.0833333333333333,1.0,2,0.15488779624495444
2,0.14680370251536476,0.13422052801404777,1.09375,1.0000000000000004,2,0.15488779624495444
2,0.1482018330155111,0.13422052801404777,1.1041666666666667,1.0000000000000004,2,0.15488779624495477
2,0.14959996351565744,0.13422052801404777,1.1145833333333335,1.0000000000000004,2,0.15488779624495455
2,0.15099809401580375,0.13422052801404777,1.125,1.0,2,0.1548877962449546
2,0.15239622451595009,0.13422052801404777,1.1354166666666667,1.0000000000000009,2,0.15488779624495455
2,0.15379435501609642,0.13422052801404777,1.1458333333333335,1.0,2,0.1548877962449546
2,0.15519248551624276,0.13422052801404777,1.1562500000000002,1.0000000000000004,2,0.1548877962449546
2,0.15659061601638907,0.13422052801404777,1.1666666666666667,1.0000000000000004,2,0.15488779624495466
2,0.1579887465165354,0.13422052801404777,1.1770833333333335,1.0000000000000009,2,0.15488779624495472
2,0.15938687701668175,0.13422052801404777,1.1875000000000002,1.0000000000000004,2,0.1548877962449545
2,0.16078500751682806,0.13422052801404777,1.1979166666666667,0.9999999999999998,2,0.15488779624495422
2,0.1621831380169744,0.13422052801404777,1.2083333333333335,1.0000000000000004,2,0.15488779624495427
2,0.16358126851712074,0.13422052801404777,1.2187500000000002,1.0000000000000009,2,0.15488779624495477
2,0.16497939901726708,0.13422052801404777,1.229166666666667,1.0,2,0.1548877962449545
2,0.1663775295174134,0.13422052801404777,1.2395833333333335,1.0000000000000004,2,0.1548877962449546
2,0.16777566001755972,0.13422052801404777,1.25,1.0000000000000009,2,0.15488779624495455
3,0.0,0.3660443835537594,0.0,4.8148248609680896e-33,1,0.020667268230907254
3,0.0038129623286849938,0.3660443835537594,0.010416666666666666,8.902611167929998e-32,1,0.024480230559592142
3,0.0076259246573699875,0.3660443835537594,0.020833333333333332,3.0814879110195774e-33,1,0.028293192888277252
3,0.011438886986054981,0.3660443835537594,0.03125,1.4564845204428471e-31,1,0.03210615521696236
3,0.015251849314739975,0.3660443835537594,0.041666666666666664,5.24334427359425e-32,1,0.03591911754564725
3,0.019064811643424967,0.3660443835537594,0.05208333333333333,4.333342374871281e-34,1,0.03973207987433214
3,0.022877773972109963,0.3660443835537594,0.0625,2.3303752327085554e-32,1,0.043545042203016915
3,0.026690736300794958,0.3660443835537594,0.07291666666666667,6.952607099237921e-32,1,0.047358004531702136
3,0.03050369862947995,0.3660443835537594,0.08333333333333333,1.7333369499485123e-33,1,0.051170966860387024
3,0.03431666095816494,0.3660443835537594,0.09375,1.0833355937178202e-32,1,0.054983929189072134
3,0.038129623286849934,0.3660443835537594,0.10416666666666666,4.0492677080741634e-32,1,0.05879689151775702
3,0.04194258561553493,0.3660443835537594,0.11458333333333334,9.750020343460382e-32,1,0.06260985384644213
3,0.045755547944219925,0.3660443835537594,0.125,8.093720591287359e-32,1,0.06642281617512713
3,0.04956851027290492,0.3660443835537594,0.13541666666666666,2.7083389842945504e-31,1,0.07023577850381213
3,0.053381472601589916,0.3660443835537594,0.14583333333333334,1.063594811787851e-31,1,0.07404874083249724
3,0.05719443493027491,0.3660443835537594,0.15625,5.565937539279112e-32,1,0.07786170316118213
3,0.0610073972589599,0.3660443835537594,0.16666666666666666,1.0546392375464504e-30,1,0.08167466548986702
3,0.0648203595876449,0.3660443835537594,0.17708333333333334,3.7286003723336886e-31,1,0.0854876278185519
3,0.06863332191632988,0.3660443835537594,0.1875,7.703719777548943e-32,1,0.08930059014723697
3,0.07244628424501488,0.3660443835537594,0.19791666666666669,1.3524843034459364e-31,1,0.09311355247592205
3,0.07625924657369987,0.3660443835537594,0.20833333333333331,1.5084364806926928e-30,1,0.09692651480460683
3,0.08007220890238487,0.3660443835537594,0.21875,6.240013019814644e-32,1,0.10073947713329204
3,0.08388517123106987,0.3660443835537594,0.22916666666666669,1.4745401136714774e-30,1,0.10455243946197683
3,0.08769813355975485,0.3660443835537594,0.23958333333333331,3.0814879110195774e-31,1,0.10836540179066172
3,0.09151109588843985,0.3660443835537594,0.25,2.359264181874364e-33,1,0.11217836411934681
3,0.09532405821712485,0.3660443835537594,0.2604166666666667,2.7083389842945504e-31,1,0.11599132644803203
3,0.09913702054580983,0.3660443835537594,0.2708333333333333,9.98402083170343e-31,1,0.11980428877671709
3,0.10294998287449483,0.3660443835537594,0.28125,1.5773847727017558e-30,1,0.12361725110540181
3,0.10676294520317983,0.3660443835537594,0.2916666666666667,3.5100073236457373e-32,1,0.12743021343408675
3,0.11057590753186482,0.3660443835537594,0.3020833333333333,3.774822690998982e-32,1,0.13124317576277203
3,0.11438886986054982,0.3660443835537594,0.3125,1.3524843034459364e-31,1,0.13505613809145697
3,0.1182018321892348,0.3660443835537594,0.32291666666666663,1.7915963307662262e-31,1,0.13886910042014208
3,0.1220147945179198,0.3660443835537594,0.3333333333333333,5.0093437853512005e-31,1,0.1426820627488268
3,0.1258277568466048,0.3660443835537594,0.34375,2.7810428396951686e-31,1,0.14649502507751197
